Application number,Title,Applicant(s),Inventor(s),Filing date,Application status,
2011328176,Method for manufacturing a trough mirror for solar trough,Hydro Aluminium Rolled Products GmbH,"Denkmann, Volker; Schenkel, Wilhelm; Siemen, Andreas; Hampel, Ulrich; Eberhard, Sandra",8/11/2011,GRANTED,
2011328285,Method for operation of a photovoltaic installation for feeding electrical power into a medium-voltage power supply grid,Adensis GmbH; SMA Solar Technology AG,"Falk, Andreas; Gerdemann, Aaron Philipp; Niebling, Frank; Beck, Bernhard",4/11/2011,GRANTED,
2011337153,Method of forming contacts for a back-contact solar cell,SunPower Corporation,"Manning, Jane",3/10/2011,GRANTED,
2011338012,Solar receiver,"Mitsubishi Heavy Industries, Ltd.","Kobayashi, Kazuta; Tagawa, Masashi; Osada, Toshiyuki; Aoyama, Kuniaki; Masuda, Masahiro; Okubo, Takeshi; Sasaki, Shuhei; Furutani, Akira; Kato, Jin; Nakatani, Hiromi",11/11/2011,GRANTED,
2011338314,Battery operated solar charged pump kit utilizing an inline submersible pump,Xylem IP Holdings LLC,"Irving, Michael Howard; Schopperle, Jeffrey Brian",8/12/2011,ACCEPTED,
2011339841,Solar cell module and connector for solar cell module,Kabushiki Kaisha Toshiba,"Shinohara, Hirofumi",8/09/2011,FILED,
2011341720,Portable solar power generator and water heating system,The Boeing Company,"Lee, Bailey",22/09/2011,GRANTED,
2011345259,Method for connecting solar cells,SunPower Corporation,"Phu, Thomas; Kumaria, Shashwat; Deleon, Briccio",17/11/2011,ACCEPTED,
2011346645,Naphtalene monoimide derivatives and use thereof as photosensitizers in solar cells and photodetectors,BASF SE,"Pschirer, Neil Gregory; Schoneboom, Jan; Eickemeyer, Felix; Reichelt, Helmut; Sens, Rudiger; Bruder, Ingmar",16/12/2011,FILED,
2011349033,Solar energy absorber unit and solar energy device containing same,Novelis Inc.,"Yuan, Yudie; Hunter, John Anthony",17/11/2011,GRANTED,
2011349604,Locating connectors and methods for mounting solar hardware,SunPower Corporation,"Wares, Brian; Almy, Charles; Barton, Nicholas",16/12/2011,GRANTED,
2011349630,Locating connectors and methods for mounting solar hardware,SunPower Corporation,"Wares, Brian; Almy, Charles",16/12/2011,GRANTED,
2011349904,Solar cell module securing structure,"Yanegijutsukenkyujo CO., LTD.","Kobayashi, Shuichi",1/11/2011,GRANTED,
2011351181,Solar concentrating heat receiver and solar concentrating heat receiving system,"Mitsubishi Heavy Industries, Ltd.","Mitsuda, Kimihiko; Yamamoto, Yasuharu; Osada, Toshiyuki; Tagawa, Masashi; Kobayashi, Kazuta",5/12/2011,GRANTED,
2011354220,Heat transfer medium for solar thermal systems,Siemens Aktiengesellschaft,"Ubler, Matthias; Groppel, Peter; Muller-Elvers, Christian; Murau, Peter; Heilmann, Pascal",2/12/2011,GRANTED,
2011355591,A solar collector drainage arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,FILED,
2011355592,A sealing arrangement for a solar collector enclosure,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,GRANTED,
2011355593,A solar collector ventilation arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,FILED,
2011355594,A solar collector panel attachment arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",22/12/2011,FILED,
2011357237,New solar concentration devices,Evonik Rohm GmbH,"Ackermann, Jochen; Numrich, Uwe; Lafontaine, Grant B.; Pasierb, Michael Thomas; Baumler, Andrew J.",13/12/2011,FILED,
2011358195,Protective device for a photovoltaic system,SMA Solar Technology AG,"Hopf, Markus; Victor, Matthias; Greizer, Frank; Bettenwort, Gerd; Friebe, Jens",18/05/2011,GRANTED,
2011358821,"Clamp connection for the attachment of plate-shaped components, particularly solar modules",Carl Freudenberg KG,"Barth, Armin",12/08/2011,LAPSED,
2011359381,Process and structures for fabrication of solar cells,SunPower Corporation,"Harley, Gabriel; Smith, David D; Dennis, Tim; Waldhauer, Ann; Kim, Taeseok; Cousins, Peter John",20/09/2011,GRANTED,
2011359885,Support mechanism for thermal receivers in the solar trough systems,Hse Hitit Solar Enerji Anonim Sirketi,"Capan, Rahmi Oguz",16/12/2011,FILED,
2011363000,Automatic generation and analysis of solar cell IV curves,SunPower Corporation,"Fischer, Kevin C.; Kraft, Steven M.; Jones, Jason C.",12/12/2011,GRANTED,
2011364489,"Heat receiver tube, method for manufacturing the heat receiver tube, parabolic trough collector with the receiver tube and use of the parabolic trough collector",Siemens Concentrated Solar Power Ltd.,"Aran, Hagai; Barkai, Menashe; Cohen, Gabriel; Ezer, Rami; Lipman, Eli",29/03/2011,FILED,
2011365793,Method and apparatus for making stationery parabolic solar collector,"Ozkul, Tarik","Ozkul, Tarik",26/05/2011,GRANTED,
2011369838,"Method of draining heat-transfer oil in a solar power plant, and equipment for draining, storing and replenishing heat-transfer oil in order to implement said method","GD Energy Services, S.A.U.","Lacalle Bayo, Jesus",27/05/2011,LAPSED,
2011371275,Bypass diode for a solar cell,SunPower Corporation,"Rim, Seung Bum; Kim, Taeseok; Smith, David D.; Cousins, Peter J.",3/10/2011,GRANTED,
2011372481,Automatic quotes for solar power installations,Solar Choice Pty Ltd,"Gemmell, Angus",26/10/2011,FILED,
2011372536,Portable solar and wind-powered energy generating system,"Miller, Lynn A.","Miller, Lynn A.",1/07/2011,FILED,
2011374670,Water-proof coating system for reflecting solar radiation and water-borne coating for forming decorative and reflective layer in coating system,Construction Research & Technology GmbH,"She, Yunchuan; Wang, Congxiao; Handyside, Timothy Marc",5/08/2011,ACCEPTED,
2011374671,A water-proof coating system for reflecting solar radiation and water-borne coatings for forming the white decorative and reflective layer in the coating system,Construction Research & Technology GmbH,"She, Yunchuan; Wang, Congxiao; Handyside, Timothy Marc",5/08/2011,GRANTED,
2011377040,"Solar thermal energy electric power generation system, solar thermal energy electric power generation method, heating medium supplying system, and heating medium heating system",Kawasaki Jukogyo Kabushiki Kaisha,"Ota, Hideaki",16/09/2011,LAPSED,
2011377920,"Glas tube with infrared light reflective coating, method for manufacturing the glass tube, heat receiver tube with the glass tube, parabolic trough collector with the heat receiver tube and use of the parabolic trough collector",Siemens Concentrated Solar Power Ltd.,"Barkai, Menashe",30/09/2011,FILED,
2011379004,Facility for treating thermal oils in solar thermal plants,"GD Energy Services, S.A.U.","Lacalle Bayo, Jesus",14/10/2011,LAPSED,
2011380892,Solar collector including a solar turbine or a turbocompressor,"Villarrubia Ruiz, Jonas","Villarrubia Ruiz, Jonas",18/12/2011,ACCEPTED,
2011384554,Solar thermal electric power generation system,Kawasaki Jukogyo Kabushiki Kaisha,"Ota, Hideaki",27/12/2011,FILED,
2011900048,"P. A process of increasing the electrical yield of existing wind turbine farm systems such that the existing turbines are not physically affected or altered, utilising their backdraught , unswept area and solar exposure to generate electricity even when the wind isn't blowing.",Terra Guardian Pty Ltd,"Bhattacharya, Ankan",8/01/2011,LAPSED,
2011900088,A Solar Collector Panel Attachment Arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",12/01/2011,LAPSED,
2011900089,A Solar Collector Header Attachment Arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",12/01/2011,LAPSED,
2011900091,A Sealing Arrangement for a Solar Collector Enclosure,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",12/01/2011,LAPSED,
2011900092,A Solar Collector Ventilation Arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, Glen",12/01/2011,LAPSED,
2011900093,A Solar Collector Drainage Arrangement,Rheem Australia Pty Limited,"Reardon, Joseph; Chapman, Gregory; Bolitho, GLen",12/01/2011,LAPSED,
2011900361,Solar derivatives,IP ASSETS; AksonG Pty Ltd; AksonG Pty Ltd,"Skryabin, Igor; Radchik, Alex",4/02/2011,LAPSED,
2011900450,Solar powered rope light,Mort Bay Traders Pty Ltd,not given,11/02/2011,LAPSED,
2011900526,Solar system 1,"Shaw, Ian Henry Mr","Shaw, Ian",17/02/2011,LAPSED,
2011900530,Solar energy system,"de Varda, Joseph","de Varda, Joseph",17/02/2011,LAPSED,
2011900574,Solar energy system,"de Varda, Joseph","de Varda, Joseph",21/02/2011,LAPSED,
2011900601,Solar Hot Water System,Nue Pty Ltd,Not Given,22/02/2011,LAPSED,
2011900794,Solar Cell Installation,"William, John Kirkham","Kirkham, William John",7/03/2011,LAPSED,
2011900829,Platinum-Free Nano Composite Counter Electrodes for Dye Sensitized Solar Cells,Monash University,Not Given,9/03/2011,LAPSED,
2011900869,Solar energy concentrators,"Yeomans, Allan James Mr","Yeomans, Allan James",11/03/2011,LAPSED,
2011900926,Solar Cells,Nano-Nouvelle Pty Ltd,Not Given,15/03/2011,LAPSED,
2011901134,Cathode-driven or assisted solar cell,University of Wollongong,Not Given,28/03/2011,LAPSED,
2011901293,Hybrid solar cell contact,NewSouth Innovations Pty Limited,"Wenham, Stuart Ross; Mai, Ly",7/04/2011,LAPSED,
2011901543,Solar Heat and Electricity Generation,"Guignard, Paul Andre Dr","Guignard, Paul A.",27/04/2011,LAPSED,
2011901668,Solar Thermal Engine,"Raffaele, Peter Robert; Raffaele, Michael John","Raffaele, Peter; Raffaele, Michael",5/05/2011,LAPSED,
2011901711,Solar heat and electricity generation,"Guignard, Paul Andre Dr","Guignard, Paul A.",7/05/2011,LAPSED,
2011901799,Solar heating,Astral Pool Australia Pty Ltd; Fabtronics Australia Pty Ltd,"Wallace, Peter Ronald; Briggs, Rodney; Harris, Frank William; Goodwin, Ashley Kane",12/05/2011,LAPSED,
2011901938,Solar panel support arrangement and method,Sunray Tracker Pty Ltd,Not Given,3/05/2011,LAPSED,
2011901964,Pebble-Glow Photo-Luminous Solar Glowing Pebble Paving and Wall Rendering Finishing System,"Rogers, Barry Heith","Rogers, Barry Heith",20/05/2011,LAPSED,
2011902000,Solar heat and electricity generation,"Guignard, Paul Andre Dr","Guignard, Paul A.",24/05/2011,LAPSED,
2011902083,Solar heat and electricity generation,"Guignard, Paul Andre Dr","Guignard, Paul A.",28/05/2011,LAPSED,
2011902269,A Solar Air Conditioning System,"Hastings, Ross Mr","Hastings, Ross",8/06/2011,LAPSED,
2011902271,Solar Thermal Dish/Engine Power System,"Hastings, Ross Mr","Hastings, Ross",8/06/2011,LAPSED,
2011902340,"""Solar open safety device"" installation system","Dixon, Gary John","Dixon, Gary John",31/05/2011,LAPSED,
2011902351,A Solar Assisted Chiller System,"Hastings, Ross Mr","Hastings, Ross",16/06/2011,LAPSED,
2011902366,Solar Power Conversion System,"Davies, Kevin Stephen Mr",Not Given,17/06/2011,LAPSED,
2011902400,Solar heat and electricity generation,"Guignard, Paul Andre Dr","Guignard, Paul A.",20/06/2011,LAPSED,
2011902593,Light trapping in solar cells,NewSouth Innovations Pty Limited,"Lennon, Alison Joan; Lu, Pei Hsuan; Wenham, Stuart Ross; Li, Zhongtian",30/06/2011,LAPSED,
2011902631,A Solar Energy System,Tropiglas Technologies Ltd,"Rosenberg, Victor",1/07/2011,LAPSED,
2011902681,Improved solar distillation device,"Starkey, Jonathan Conrad Mr","Starkey, Jonathon Starkey",6/07/2011,LAPSED,
2011902711,Automatic quotes for solar power installations,Solar Choice Pty Ltd,Not Given,7/07/2011,LAPSED,
2011902762,Environmentally friendly solar blinds,"Woo, Kam Cheung","Woo, Kam Cheung",11/07/2011,LAPSED,
2011902783,Solar Concentrator,"Cooper, Bretton; Blazley, Wade","Cooper, Bretton; Blazley, Wade",12/07/2011,LAPSED,
2011902906,Optical fibre solar cells and the use of optical fibres in solar applications and novel solar devices,"Canning, John Prof.","Canning, John; Crossley, Maxwell; Black, Andrew",20/07/2011,LAPSED,
2011902936,Composition and method for coating a solar panel,LJW Solar Pty Ltd,"Warner, Michael",22/07/2011,WITHDRAWN,
2011903030,Solar dryer for animal feeds,"Welch, Peter St Vincent","Welch, Peter St Vincent",1/08/2011,LAPSED,
2011903131,Dielectric structure in solar cells,NewSouth Innovation Pty Limited,Not Given,2/08/2011,LAPSED,
2011903181,A means for producing electricity using solar cells,"Healey, Arthur Stephen","Healey, Arthur Stephen",10/08/2011,LAPSED,
2011903192,Solar Boosted Combined Cooling Heating and Power System,"Hastings, Ross Mr","Hastings, Ross",11/08/2011,LAPSED,
2011903342,Unsworth integrated solar desalination systems- ISDS basic solar well,"Unsworth, Paul","Unsworth, Paul",22/08/2011,LAPSED,
2011903376,A Solar powered housing Capsule,"Little, Philip",Not Given,19/08/2011,LAPSED,
2011903426,Improved Solar Still,First Green Park Pty Ltd,"Johnston, Peter",26/08/2011,LAPSED,
2011903439,Solar thermal collector,"Patford, Laurie","Patford, Laurie",26/08/2011,LAPSED,
2011903451,Transom Solar,"Beecroft, Corey","Beecroft, Corey",29/08/2011,LAPSED,
2011903503,A solar power unit with a cover,"Graham, Matthew","Graham, Matthew",31/08/2011,LAPSED,
2011903601,Pressure regulation method and apparatus for solar energy collecting apparatus,"Yeomans, Allan James Mr","Yeomans, Allan James",6/09/2011,LAPSED,
2011903642,"Storage, Solar Water Heater M3","Trihey, Albert Massey Mr","Trihey, Albert Massey; Trihey, John Massey",8/09/2011,LAPSED,
2011903652,Solar panel mounting system,Lock Solar Ltd,Not Given,7/09/2011,LAPSED,
2011903944,Varying bandgap solar cell,Gallium Enterprises Pty Ltd,Not Given,23/09/2011,LAPSED,
2011903950,Solar Electricity Generation,"Guignard, Paul Andre Dr","Guignard, Paul Andre",25/09/2011,LAPSED,
2011903951,Solar Still Assembly,First Green Park Pty Ltd,"Johnstone, Peter",26/09/2011,LAPSED,
2011904144,A solar radiation receiver and the use in concentrating solar thermal energy collection systems,"Yin, Yongbai Mr","Yin, Yongbai",7/10/2011,LAPSED,
2011904333,Incorporated solar panel,"David, Albert John; Fester, Robin Andre","Fester, Robin; David, Albert John",19/10/2011,LAPSED,
2011904342,Solar Collector,"Trihey, Albert Massey Mr","Trihey, Albert Massey; Trihey, John Massey; Witte, Edward",20/10/2011,LAPSED,
2011904437,Solar thermal engine,"Raffaele, Peter Robert; Raffaele, Michael John","Raffaele, Peter Robert; Raffaele, Michael John",23/10/2011,LAPSED,
2011904511,Solar Collector 2,"Trihey, Albert Massey Mr","Trihey, Albert Massey; Trihey, John Massey; Witte, Edward",28/10/2011,LAPSED,
2011904765,Metal contact scheme for solar cells,"NewSouth Innovations Pty Limited; Wuxi Suntech Power Co., Ltd","Vais, Valantis; Lennon, Alison Joan; Wenham, Stuart Ross; Jingjia, Jl; Wenham, Alison Maree",15/11/2011,LAPSED,
2011904769,Thin-Film Solar Cell,Swinburne University of Technology,Not Given,15/11/2011,LAPSED,
2011904770,Wafer-Based Solar Cell,Swinburne University of Technology,Not Given,15/11/2011,LAPSED,
2011904795,A passive solar collector arrangement,Intex Holdings Pty Ltd,Not Given,17/11/2011,LAPSED,
2011904940,Solar Powered Mobile LED Lighting Towers,Waverider Nominees Pty Ltd,"Walker, Richard",28/11/2011,LAPSED,
2011905151,Solar powered house numbering system with emergency function,"Fielding, Samuel Luke Thomas Mr",Not Given,9/12/2011,LAPSED,
2011905229,Solar and Steam Motor/ Powerplant,"Humphries, Tony A.",Not Given,25/11/2011,LAPSED,
2011905245,M-PIN SPVSG Multiple PIN Composition Silicon Super PV Cells for Solar Concentrator,"TANG, Richard Zhao Kun Mr","Tang, Zhao Kun",15/12/2011,LAPSED,
2011905268,Solar to Steam Engine,"Humphries, Tony A.",Not Given,14/12/2011,LAPSED,
2011905365,A Solar Panel Assembly,Soleir Ltd,"Foong, Edwin; Gillespie, Rohan",21/12/2011,LAPSED,
2011905401,Detector Cable Guard,"Rowland, Peter; Davis, Paul","Rowland, Peter; Davis, Paul",23/12/2011,LAPSED,
2011905406,Multi Purpose Knuckle With Thumbscrew,"Rowland, Peter; Davis, Paul","Rowland, Peter; Davis, Paul",23/12/2011,LAPSED,
2012100040,"Solar powered, wireless networked security camera","Berry, Michael Richard Mr","Berry, Michael Richard",18/01/2012,GRANTED,
2012100075,Solar tile structure,Axuntek Solar Energy,"Lee, Shih-Wei; Tseng, Chih-Wei; Tseng, Chio-An; Chen, Yen-Chun; Jian, Fu-Lu",24/01/2012,CEASED,
2012100092,Detector Cable Guard,"Davis, Paul; Rowland, Peter","Rowland, Peter; Davis, Paul",30/01/2012,CERTIFIED,
2012100094,Multi Purpose Knuckle and Thumb screw,"Davis, Paul; Rowland, Peter","Rowland, Peter; Davis, Paul",30/01/2012,CEASED,
2012100122,Solar Powered Road Marker device,"Berry, Michael","Berry, Michael Richard",6/02/2012,GRANTED,
2012100374,Solar Powered Lighting Apparatus,"Jurgens, Elise; Jurgens, Owen; Jurgens, Phillipa; Jurgens, Terence","Jurgens, Terence",3/04/2012,GRANTED,
2012100413,Solar window glass,A.C. Impex Pty Ltd,"Maimon, Yacov; Liu, Nan",4/04/2012,CEASED,
2012100429,Solar Window Glass,A.C. Impex Pty Ltd,"Maimon, Yacov; Liu, Nan",5/04/2012,CEASED,
2012100512,Solar panel support arrangement and method,Sunray Tracker Pty Ltd,"Chappel, Jonathan",3/05/2012,CEASED,
2012100793,A kind of solar photovoltaic bracket connecting component,"Zhangjiagang Freedom New Energy Co., Ltd.","Yuan, Bin",29/05/2012,CEASED,
2012100871,Mobile solar lighting plant,Linked Group Services Pty Ltd,"Sharam, Jason",12/06/2012,GRANTED,
2012100964,Cement Solar Tile,"Maimon, Yacov; Star 8 Solar Green Commercial Pty Ltd","Maimon, Yacov",25/06/2012,GRANTED,
2012101058,Solar panel mounting system,"Suzhou Radiant Photovoltaic Technology Co., Ltd","Zheng, Konley; Zheng, Alei; Xu, David",17/07/2012,GRANTED,
2012101059,Portable solar hot water thermos and kettle,"Stevens, Heather Miss","Stevens, Heather",17/07/2012,CEASED,
2012101079,Solar swimming pool sanitation system,"Gavey, Ernest Mr","Gavey, Ernest",23/07/2012,GRANTED,
2012101096,An outdoor solar energy drying machine,Tongxiangshi Puyuan Sheerde Knitted Garment Factory,"Yu, Quntao",24/07/2012,CEASED,
2012101097,A solar desk lamp with a sucker,Tongxiangshi Puyuan Sheerde Knitted Garment Factory,"Yu, Quntao",24/07/2012,CEASED,
2012101220,Solar panel safety isolator,Collett Manufacturing Pty Ltd,"Collett, Christopher Mark",13/08/2012,CEASED,
2012101285,A Solar Assisted Chiller System,"Hastings, Ross Mr","Hastings, Ross",23/08/2012,LAPSED,
2012101286,A solar thermal dish/engine power system,"Hastings, Ross Mr","Hastings, Ross",23/08/2012,LAPSED,
2012101325,Solar Powered Hand-held Safety Sign,"Downing, Neil John","Downing, Neil John",31/08/2012,GRANTED,
2012101345,Extendable solar panel assembly for a container,PB Holdings (QLD) Pty Ltd,"Shaw, Brendon John; Jones, Paul William",4/09/2012,GRANTED,
2012101363,Pressure regulation method and apparatus for solar energy collecting apparatus,"Yeomans, Allan James Mr","Yeomans, Allan James",5/09/2012,CEASED,
2012101367,Flexible Solar,"Maimon, Yacov; Star 8 Solar Green Commercial Pty Ltd","Maimon, Yacov",3/09/2012,GRANTED,
2012101391,Thin Film Cement Solar Tile,"Star 8 Solar Green Commercial Pty Ltd; Maimon, Yacov","Maimon, Yacov",7/09/2012,LAPSED,
2012101504,Solar Transparency Glass,Star 8 Solar Green Commercial Pty Ltd,"Maimon, Yacov",4/10/2012,LAPSED,
2012101518,Solar tracking solar hot water system,"Crooks, Christopher Mr; Ignatious, Benny Kottamplakal","Ignatious, Benny K.; Crooks, Christopher",9/10/2012,CEASED,
2012101655,Underfloor solar air heating and cooling device for domestic application,"GILL, PETER WILLIAM","Gill, Peter William",6/11/2012,CEASED,
2012101740,Lateral Sunflower Modular Parabolic Trough Solar Collector (PTC) System,"Tosovic, Dusan MR","Tosovic, Dusan",30/11/2012,GRANTED,
2012101765,M-PIN-SPVSC (Multiple PIN Composition Silicon Super PV Cells for Solar Concentrator),"TANG, Richard Zhao Kun Mr","TANG, (Richard) Zhao Kun",3/12/2012,GRANTED,
2012101846,Solar powered fan brim for Hard hats,Parasafe Australia Pty Ltd,"Hokins, Neil",18/12/2012,CEASED,
2012200020,Thin-film solar cell interconnection,NewSouth Innovations Pty Limited,"Aberle, Armin Gerhard; Walsh, Timoty Michael; Wenham, Stuart Ross",3/01/2012,LAPSED,
2012200055,Environmentally friendly solar blinds,"Woo, Kam Cheung","Woo, Kam Cheung",4/01/2012,FILED,
2012200149,"Low Emissivity Coating with Low Solar Heat Gain Coefficient, Enhanced Chemical and Mechanical Properties and Method of Making the Same","AGC Flat Glass North America, Inc.","Coster, Dominique; Maschwitz, Peter; Decroupet, Daniel",11/01/2012,GRANTED,
2012200216,Heat transfer passes for solar boilers,Babcock Power Services Inc.,"Plotkin, Andrew; Gillum, Craig",13/01/2012,FILED,
2012200403,See-through solar collector module and manufacturing method thereof,Axuntek Solar Energy,"Lee, Shih-Wei; Lin, Ching-Ju; Huang, Wei-Min; Hou, Chi-Hung; Chen, Yen-Chun",24/01/2012,LAPSED,
2012200426,A Modular Solar Panel Assembly,"Lanskey, James","Lansky, James",25/01/2012,GRANTED,
2012200641,Modular sub-assembly of semiconductor strips,Transform Solar Pty Ltd,"Verlinden, Pierre Jacques; Kerr, Mark John",3/02/2012,CEASED,
2012200744,Systems and methods for solar boiler construction,Babcock Power Services Inc.,"Plotkin, Andrew; Ricci, Russell",8/02/2012,FILED,
2012201040,Solar Hot Water System,Nue Pty Ltd,"Fan, Yi; Gao, Feng",22/02/2012,LAPSED,
2012201047,Solar cooking appliances,"Lin, Huazi; W&E International (Canada) Corp.","Lin, Huazi",23/02/2012,GRANTED,
2012201056,Solar cooking appliances,"Lin, Huazi; W&E International (Canada) Corp.","Lin, Huazi",23/02/2012,GRANTED,
2012201084,Solar array,Hilti Aktiengesellschaft,"Bragagna, Elio; Mundwiler, Lukas",24/02/2012,LAPSED,
2012201088,Solar cell with reduced base diffusion area,SunPower Corporation,"Cousins, Peter J.; De Ceuster, Denis",24/02/2012,GRANTED,
2012201213,System for collecting and delivering solar and geothermal heat energy with thermoelectric generator,"Simka, Pavel","Simka, Pavel",5/03/2012,GRANTED,
2012201360,Circuit and method for controlling the point of maximum power for solar energy source and solar generator incorporating said circuit,"Capel, Antoine","Capel, Antoine",7/03/2012,LAPSED,
2012201554,Solar cell (sliver) sub-module formation,The Australian National University,"Everett, Vernie Allan; Blakers, Andrew William",15/03/2012,LAPSED,
2012201561,Methods and apparatuses for manufacturing monocrystalline cast silicon and monocrystalline cast silicon bodies for photovoltaics,AMG IdealCast Solar Corporation,"Stoddard, Nathan G.",15/03/2012,LAPSED,
2012201605,"Frame-like holder for a solar panel, with a cable holder",Solon SE,"Rentfrow, Greg",19/03/2012,GRANTED,
2012201674,"Support arm, cylindrical-parabolic solar collector support and method of producing said arm","Sener, Ingenieria Y Sistemas, S.A.","Vazquez Ingelmo, Jorge; Domingo Osle, Miguel",21/03/2012,GRANTED,
2012201963,Method and systems for distributing solar energy charging capacity to a plurality of electric vehicles,General Electric Company,"Ansari, Adil; Caird, Kenneth James",4/04/2012,LAPSED,
2012202071,Solar boiler system,"Mitsubishi Hitachi Power Systems, Ltd.","Mishima, Nobuyoshi; Sugiura, Takashi; Sakakura, Toshihiko",11/04/2012,GRANTED,
2012202289,Solar energy collection flight path management system for aircraft,The Boeing Company,"Segal, Matthew Jonathan; Wise, Kevin Andrew",19/04/2012,GRANTED,
2012202396,Hybrid solar concentration device,General Electric Company,"Chatterjee, Aveek; Bhakta, Aditya; Ghosh, Sampa; Govindasamy, Rakesh; Krishan, Devanathan",26/04/2012,LAPSED,
2012202671,Solar heating,Astral Pool Australia Pty Ltd; Fabtronics Australia Pty Ltd,"Wallace, Peter; Briggs, Rod; Harris, Frank; Goodwin, Ashley",8/05/2012,GRANTED,
2012202676,A solar collector,Kingspan Holdings (IRL) Limited,"Pelan, Richard; Bauer, Boris; McEntee, Paul Thomas; Davis, Patrick Robert",8/05/2012,LAPSED,
2012203024,Multi-layer N-type stack for cadmium telluride based thin film photovoltaic devices and methods of making,"PrimeStar Solar, Inc.","Feldman-Peabody, Scott Daniel; Gossman, Robert Dwayne",22/05/2012,LAPSED,
2012203178,Multi-layer n-type stack for cadmium telluride based thin film photovoltaic devices and methods of making,"PrimeStar Solar, Inc.","Feldman-Peabody, Scott Daniel; Gossman, Robert Dwayne",22/05/2012,LAPSED,
2012203184,Refractive index matching of thin film layers for photovoltaic devices and methods of their manufacture,"PrimeStar Solar, Inc.","Gossman, Robert Dwayne",22/05/2012,LAPSED,
2012203351,Solar boiler tube panel supports,Babcock Power Services Inc.,"Morse, Gregory L.; Ringer Jr., Michael D.; Slezak, Ivo; Ricci, Russell",7/06/2012,FILED,
2012203401,Methods for manufacturing cast silicon from seed crystals,AMG IdealCast Solar Corporation,"Stoddard, Nathan G.",8/06/2012,LAPSED,
2012203603,Method and apparatus for the production of crystalline silicon substrates,AMG IdealCast Solar Corporation,"Clark, Roger F.",20/06/2012,LAPSED,
2012203604,Methods and apparatuses for manufacturing geometric multicrystalline cast silicon and geometric multicrystalline cast silicon bodies for photovoltaics,AMG IdealCast Solar Corporation,"Stoddard, Nathan G.",20/06/2012,LAPSED,
2012203668,Methods and apparatuses for manufacturing cast silicon from seed crystals,AMG IdealCast Solar Corporation,"Stoddard, Nathan G.; Clark, Roger F.",22/06/2012,LAPSED,
2012203710,Solar Cement Tile,"Maimon, Yacov; Star 8 Solar Green Commercial Pty Ltd","Maimon, Yacov",25/06/2012,LAPSED,
2012205154,Solar Shade,"Host, Rex Ian","Host, Rex Ian",16/07/2012,LAPSED,
2012205235,Oxygen getter layer for photovoltaic devices and methods of their manufacture,"PrimeStar Solar, Inc.","Gossman, Robert Dwayne; Feldman-Peabody, Scott Daniel; Knapp, Jeffrey Todd",19/07/2012,LAPSED,
2012205275,Mobile solar sail power station and coupled solar sail power stations for space based power generation and transmission,"Ellinghaus, Frank","Ellinghaus, Frank",11/07/2012,LAPSED,
2012206683,Fastening system for mounting solar modules on a trapezoidal sheet,Mounting Systems GmbH,"Schnitzer, Sandy; Hertlein, Lisa",10/01/2012,LAPSED,
2012209021,Apparatus for metering granular source material in a thin film vapor deposition apparatus,"PrimeStar Solar, Inc.","Little, Edwin Jackson",31/07/2012,LAPSED,
2012210253,Fuse continuity detection,"Schneider Electric Solar Inverters USA, Inc.","McDiarmid, Ralph; Miletic, Zoran",27/01/2012,ACCEPTED,
2012210486,Local power supply installation,SMA Solar Technology AG,"Allert, Claus",27/01/2012,FILED,
2012210521,Long-life optical concentrator based on a specific Fresnel lens produced from polymeric materials for solar power generation,Evonik Rohm GmbH,"Numrich, Uwe; Arndt, Thomas; Battenhausen, Peter; Ackermann, Jochen; Olbrich, Michael",26/01/2012,LAPSED,
2012217206,"Improved method for manufacturing a reflector, preferably for the solar energy field",Commissariat a L'Energie Atomique et Aux Energies Alternatives,"Vidal, Frederic; Couturier, Raphael",13/02/2012,GRANTED,
2012218216,A solar cell laminate comprising crystalline silicon photo-electricity device and process to make such a laminate,Flexsol Solutions B.V.,"Van Den Berg, Lennert Frans",13/02/2012,LAPSED,
2012220524,Packaging material for solar cell module and uses thereof,"Eternal Materials Co., Ltd.","Hsu, Tsun-Min; Shih, Yi-Chung; Chen, Meng-Tso",14/09/2012,GRANTED,
2012220525,Thin sheet for solar cell module,"Eternal Materials Co., Ltd.","Hsu, Tsun-Min; Huang, Chi-Tsung; Bai, Hao-Tien",14/09/2012,GRANTED,
2012220646,Solar tracker drive,SunPower Corporation,"Almy, Charles; Barton, Nicholas",22/02/2012,GRANTED,
